Two-core

Primary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,3809,2899,2303,1968,3808,2937,1975,3984,3180,2132,3097,2539,5006,2589,4278,4626
0,826,408,122,121,832,348,58,778,388,81,580,200,2361,155,1037,1676

Relay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,1,4,6,5,6,12,0,4,2,5,1,6,8,4,4,3
5,204,190,236,245,201,280,189,228,174,229,171,265,186,175,146,131
4,2345,2440,2647,2694,2325,2734,2486,2488,2325,2525,2435,2773,2156,2399,2066,2018
3,9738,10792,11598,11704,9971,10983,11685,10066,10128,11662,11080,11832,9681,11046,9937,9224
2,17985,19017,19379,19707,17925,18598,19757,17791,18383,19606,18515,18910,17165,19275,17945,17526
1,13696,12557,11989,11567,13570,12383,11981,13209,13422,11844,12585,11650,12873,12659,13382,13543
0,3717,2518,1543,1419,3678,2523,1256,3894,3155,1500,2767,2000,5816,1906,4259,5377

Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,0,3,2,6,2,8,1,4,5,0,4,3,2,2,3,3
10,28,48,56,64,45,46,43,45,49,69,37,53,40,35,22,29
9,362,396,516,541,431,481,434,395,404,459,369,456,279,407,338,336
8,1774,2013,2369,2514,1861,2272,2247,1849,1910,2267,2032,2318,1607,2136,1571,1705
7,5124,6008,6430,6778,5344,6208,6505,5343,5583,6814,5892,6612,4832,6037,4873,4886
6,9435,10245,10918,11377,9393,10422,11425,9640,10155,11260,10491,10909,8980,10656,9393,8968
5,11379,11885,12061,11956,11341,11461,12385,11033,11451,11993,11526,11673,10618,11871,11297,10831
4,9375,9023,8662,8375,9174,8716,8604,9126,9119,8460,8746,8526,8797,9147,9173,8919
3,5697,4803,4401,3987,5528,4796,4108,5491,5246,4150,5009,4427,5468,4775,5778,5633
2,2466,1915,1427,1272,2551,1960,1251,2681,2335,1411,2051,1640,3001,1669,2883,3033
1,1270,797,457,357,1226,827,300,1344,982,415,854,639,2014,593,1453,1892
0,776,382,99,114,780,316,51,729,350,73,543,180,2246,136,955,1586



